ITEM_CATEGORY_NAME,ITEM_SUBCATEGORY_NAME,ITEM_CLASS_NAME,PRODUCT_COUNTRY_ORIGIN_NAME,PRODUCT_SKU_NO,PRODUCT_LONG_NAME,PRODUCT_BASE_UPC_NO,PRODUCT_LITRES_PER_CONTAINER,PRD_CONTAINER_PER_SELL_UNIT,PRODUCT_ALCOHOL_PERCENT,PRODUCT_PRICE,SWEETNESS_CODE
Wine,France Wine,France Rose Wine,FRANCE,71191,PAYS D'OC ROSE - L'OSTAL CAZES 2018,3760082818272,0.75,1,12.5,16.99,0
Wine,France Wine,France Red Wine,FRANCE,95745,PESSEC LEOGNAN - CHATEAU HAUT BRION 2013,,0.75,1,13,800,0
Wine,Chile Wine,Chile Red Wine,CHILE,101226,CHILEAN RED - CLOS APALTA COLCHAGUA 2016,626990414599,1.5,1,15,359.99,NA
Wine,Italy Wine,Italy Red Wine,ITALY,143498,SICILY - TENUTA CASTELLARO YPSILON ROSSO,626990404217,0.75,1,12.5,35.99,0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,CANADA,145222,MILLER LITE CAN,56327012103,0.355,15,4,26.49,NA
Wine,USA Wine,USA Rose Wine,UNITED STATES OF AMERICA,173065,CALIFORNIA ROSE - LONGSHOT,85000029084,0.75,1,12.5,14.99,0
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,252312,GLENFIDDICH SPECIAL RESERVE - 12 YEAR OLD,5010327000237,0.375,1,40,36.99,NA
Spirits,Grape and Fruit Brandy,Brandy,FRANCE,360719,ST. REMY - V.S.O.P.,3035540000064,1.75,1,40,57.99,0
Refreshment Beverages,Cider,Domestic Cider,CANADA,488155,OKANAGAN APPLE CIDERS - ORCHARD PEACH,779305004630,0.355,6,5,10.99,NA
Wine,Sake,Japan Sake,JAPAN,613760,HAKUTSURU - SAYURI NIGORI SAKE,4902650024183,0.3,1,12.5,9.49,1
Spirits,Grape and Fruit Brandy,Brandy,CANADA,3830,D'EAUBONNE - V.S.O.P.,48415387460,0.375,1,40,11.49,NA
Wine,France Wine,France Red Wine,FRANCE,189194,PAUILLAC - CHATEAU LAFITE ROTHSCHILD 1999,3448820005886,0.75,1,12.5,2600,0
Refreshment Beverages,Cider,Domestic Cider,CANADA,240333,GROWERS - EXTRA DRY APPLE,67932000386,2,1,7,8.99,NA
Wine,Italy Wine,Italy White Wine,ITALY,244681,PINOT GRIGIO VERDUZZO DELLE VENEZIE -  MASI MASIANCO 2020,8002062001652,0.75,1,13,16.99,0
Wine,Spain Wine,Spain Red Wine,SPAIN,270363,ALMANSA RESERVA - PIQUERAS CASTILLO DE ALMANSA,8414837010118,0.75,1,14,15.99,0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,CANADA,399717,PHILLIPS - BLUE BUCK ALE CAN,626990109129,0.355,6,5,11.99,NA
Wine,Canada - BC,Canada - BC White Wine,CANADA,474329,THE WINEMAKER'S HOUSE - SAUVIGNON BLANC,776545600943,2,1,12.5,23.99,0
Wine,Canada - BC,Canada - BC White Wine,CANADA,601310,JACKSON TRIGGS PROPRIETORS SELECTION RIESLING GEWURZTRAMINER,63657034606,4,1,12.5,35.99,1
Wine,France Wine,France Red Wine,FRANCE,759944,CHATEAU COS D'ESTOURNEL 2006,,0.75,1,13,215.99,0
Wine,France Wine,France Red Wine,FRANCE,11043,CHINON - DOMAINE DE L'R LE CANAL DES GRANDS PIECES 2019,3760104954957,0.75,1,13.5,34.99,0
Wine,France Wine,France White Wine,FRANCE,55533,BOURGOGNE CHARDONNAY - LOUIS LATOUR 2017,3566921001177,0.75,1,13,26.99,0
Wine,Italy Wine,Italy Red Wine,ITALY,68219,BAROLO - AZELIA BRICCO FIASCO 2015,8032804341906,0.75,1,13.5,145.99,0
Spirits,Other Spirits,Ready to Serve Cocktails,UNITED STATES OF AMERICA,108790,ON THE ROCKS - EFFEN COSMOPOLITAN,855880008055,0.375,1,20,22.49,NA
Wine,France Wine,France White Wine,FRANCE,125396,CHATEAU DOISY DAENE 2016,3760021821066,0.375,1,13,50,NA
Wine,France Wine,France Red Wine,FRANCE,129610,VOSNE ROMANEE 1ER LES ROUGES DU DESSUS - PIERRE BRISSET 2015,626990347620,0.75,1,13,175.99,0
Wine,France Wine,France White Wine,FRANCE,203401,SAUTERNES - CHATEAU GUIRAUD 2017,,0.375,1,13,50,NA
Wine,Fortified Wine,Sherry Wine,SPAIN,215509,HARVEY'S - BRISTOL CREAM,5010277010188,1,1,17.5,22.99,10
Wine,Canada - BC,Canada - BC Red Wine,CANADA,874552,COPPER MOON - SHIRAZ,48162012448,0.75,1,13,7.99,0
Spirits,Tequila,Gold Tequila,MEXICO,53754,EL JIMADOR - REPOSADO WITH GLASS GIFT PACK,744607003704,0.75,1,40,35.99,NA
Wine,Australia Wine,Australia Red Wine,AUSTRALIA,74057,SHIRAZ - BERTON GOLD LABEL LIMITED EDITION,9335966005204,0.75,1,14.5,13.97,0
Wine,France Wine,France White Wine,FRANCE,107736,SAVENNIERES - NICOLAS JOLY LES VIEUX CLOS 2018,3354345318496,0.75,1,15,67.99,0
Wine,Canada - BC,Canada - BC White Wine,CANADA,134734,PELLER FAMILY VINEYARDS - CHARDONNAY,48162008533,4,1,12,37.99,0
Wine,Chile Wine,Chile White Wine,CHILE,150389,SAUVIGNON BLANC - ESTRELLA DE PASCUA,7804320747057,0.75,1,12.5,11.99,1
Wine,France Wine,France Red Wine,FRANCE,227149,PAUILLAC - CHATEAU LAFITE ROTHSCHILD 2017,,0.75,1,13,1500,NA
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,CANADA,236585,MICHELOB - ULTRA SLEEK 24 CAN,,0.355,24,4,40.99,NA
Wine,Italy Wine,Italy Red Wine,ITALY,256936,BRUNELLO DI MONTALCINO - PERTIMALI DIECI,626990313748,0.75,1,13.5,175.99,0
Wine,Chile Wine,Chile Red Wine,CHILE,376848,CABERNET SAUVIGNON - CONO SUR BICICLETA,89419418040,0.75,1,13.5,9.99,0
Spirits,Rum,White Rum,CANADA,486621,BACARDI - SUPERIOR WHITE PET,620213015297,1.14,1,40,33.49,0
Wine,France Wine,France Champagne Wine,FRANCE,489617,VEUVE CLICQUOT - BRUT,3049610004609,3,1,12,575,0
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,21097,GLENLIVET - 12 YEAR OLD,80432400630,0.75,1,40,61.99,NA
Wine,France Wine,France White Wine,FRANCE,42727,MERCUREY BLANC - MICHEL JUILLOT CHARDONNAY 2018,3508032016015,0.75,1,13,49.99,0
Wine,Italy Wine,Italy Red Wine,ITALY,100903,BRUNELLO DI MONTALCINO - FULIGNI 2015,726452016504,0.75,1,14.5,145.99,0
Wine,Australia Wine,Australia White Wine,AUSTRALIA,135478,CHARDONNAY - MCGUIGAN THE PLAN,764253952478,0.75,1,12.5,13.99,0
Wine,Chile Wine,Chile Red Wine,CHILE,147819,SYRAH - FALERNIA RESERVA ELQUI 2015,7809623200315,0.75,1,14,19.99,0
Spirits,Gin,Other Gin,UNITED KINGDOM,159588,HENDRICK'S GIN - MIDSUMMER SOLSTICE,5010327705811,0.75,1,43.4,60.99,NA
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,CANADA,188342,PACIFIC WESTERN - PACIFIC PILSNER CAN,7745580007508,0.355,24,5,30.79,NA
Wine,France Wine,France Red Wine,FRANCE,300459,CHATEAU CANON LA GAFFELIERE 2014,714153154618,0.75,1,13.5,130,0
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,335794,CABERNET SAUVIGNON - HESS SELECT NORTHCOAST 2017,717888510025,0.75,1,13.5,26.49,0
Wine,France Wine,France Red Wine,FRANCE,374330,LE PETIT MOUTON 2014,626990305095,0.75,1,13,220,NA
Wine,Germany Wine,Germany White Wine,GERMANY,435107,RIESLING SPATLESE - J J PRUM GRAACHER HIMMELREICH 2019,717215002247,0.75,1,11,63.99,0
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,480454,SYRAH - STOLPMAN VINEYARDS BALLARD CANYON ESTATE 2018,890095000111,0.75,1,14.1,49.99,0
